PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:05:53 2021,,Fall Event Recorded?,True,,False Positive?,True,,
Time End,Fri Mar 12 23:05:55 2021,,Fall Time,Fri Mar 12 23:05:55 2021,-1609477199.2687988,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1615608353.9336839,0.73736572265625,0.0323486328125,-0.06524658203125,0.6715087890625,-0.68,0.03,0.19,-0.034817480364583674,-0.120516564212623
1615608353.9766846,0.73724365234375,0.03875732421875,-0.06982421875,0.6708984375,-0.01,0.17,-0.34,-0.031943922310253565,-0.13373035842188224
1615608354.067677,0.73779296875,0.04071044921875,-0.06964111328125,0.670166015625,-0.8300000000000001,0.1,0.26,-0.029094497539436177,-0.13578943694490253
1615608354.1146839,0.735595703125,0.0439453125,-0.072265625,0.672119140625,-0.15,-0.02,-0.09,-0.028450184412140082,-0.14275182677105783
1615608354.161677,0.73785400390625,0.0452880859375,-0.07366943359375,0.66937255859375,-0.85,0.1,0.36,-0.02785827356521012,-0.1461680936945517
1615608354.2046762,0.73712158203125,0.0517578125,-0.0792236328125,0.6690673828125,-0.49,-0.19,0.25,-0.026111862345119,-0.1606014333081885
1615608354.2516766,0.7391357421875,0.059326171875,-0.08502197265625,0.66552734375,-0.6900000000000001,0.38,-0.14,-0.022470203084458715,-0.17667627656147306
1615608354.2996857,0.73797607421875,0.06585693359375,-0.08392333984375,0.6663818359375,-0.42,0.52,-0.32,-0.012943335911614668,-0.18274919156400854
1615608354.3456838,0.73577880859375,0.06988525390625,-0.08697509765625,0.66796875,0.16,0.43,-0.73,-0.011824995052438095,-0.19113956869292514
1615608354.3886771,0.73382568359375,0.06500244140625,-0.08685302734375,0.67059326171875,-0.9500000000000001,0.2,0.26,-0.01864363098686428,-0.18532748513739863
1615608354.434677,0.731201171875,0.05535888671875,-0.0872802734375,0.67425537109375,-0.38,-0.52,-0.02,-0.03239956014960583,-0.17457416259763145
1615608354.536685,0.7271728515625,0.044677734375,-0.0821533203125,0.6800537109375,-1.28,-0.25,1.01,-0.04105445309363436,-0.1554831764124662
1615608354.715068,0.7265625,0.0382080078125,-0.07598876953125,0.68182373046875,-0.39,-0.01,-0.2,-0.04209932730555238,-0.14018733618143495
1615608354.8450751,0.7265625,0.03594970703125,-0.0738525390625,0.68212890625,-0.86,-0.11,0.47000000000000003,-0.04241861946816291,-0.13486990733475618
1615608354.8460677,0.72552490234375,0.035400390625,-0.07830810546875,0.68280029296875,-0.23,-0.37,0.2,-0.04863196383399598,-0.13965580714932546
1615608354.89307,0.720947265625,0.0447998046875,-0.08587646484375,0.6861572265625,-0.04,-0.41000000000000003,0.08,-0.046799462325826144,-0.15979238105928098
1615608354.89307,0.7191162109375,0.0552978515625,-0.0792236328125,0.68817138671875,-0.44,-0.34,0.41000000000000003,-0.025955693750129707,-0.16405251957236902
1615608354.9474297,0.71954345703125,0.05743408203125,-0.0706787109375,0.68841552734375,-1.35,-4.22,1.94,-0.01287242521827806,-0.15611160729862114
1615608354.9474297,0.71966552734375,0.0584716796875,-0.06439208984375,0.6888427734375,-0.9,-6.03,4.28,-0.00399138320730614,-0.14960488107555595
1615608354.994429,0.731201171875,0.077392578125,-0.040771484375,0.676513671875,4.66,11.85,-12.700000000000001,0.050791244567152095,-0.14167607976845253
